area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6113,128,B,#7cb5bd,B1,,2,0.000140675,0.079830096,0.00014083,38.56028474,40.91681964,39.42517039,24.06779661,39.63409159,24.71694915,58.18305085,58.30508475,1367.89,3084.5,2943,1311.4,19.4718897,76.32,69.82,8.3,7.06,23.68,30.18,8.74,8.01,1221595.532,237867.7346
6114,128,C,#ffff00,C3,Portsmouth,3,0.000326948,0.180602274,0.000326981,38.3204062,39.82343302,38.66909171,22.57059254,38.93764364,23.69422092,55.68836869,55.85149963,1102.14,2630.55,5744,945.6,17.94007749,70.09,66.24,8.71,8.44,29.91,33.78,8.48,11.51,2836305.811,508835.4605
6115,128,C,#ffff00,C2,St. Johns,3,0.000256841,0.115502755,0.000256867,37.6362622,39.38708954,38.29688357,22.57008467,38.44007844,23.88805268,58.31608655,58.07431797,1177.85,2704.47,4666,1111.41,19.07911435,78.61,64.55,2.04,2.39,21.39,35.45,15.5,18.26,2227804.639,425045.3946
6116,128,C,#ffff00,C1,"Northwest St, Johns",3,0.000111475,0.061320415,0.000111495,36.17336744,38.48622764,38.12505686,25.6172043,37.59488398,26.30967742,56.21290323,56.33333333,690.9,1248.37,1154,570.92,18.20610832,75.77,67.19,7.09,4.56,24.29,32.81,17.99,21.46,966862.1582,176027.9719
6117,128,C,#ffff00,C12,Park Rose,3,6.08E-05,0.038729385,6.08E-05,42.03498691,41.08563185,40.84124342,21.46153846,41.32062073,22.38461538,61.18846154,60.94230769,833.47,1682.09,528,740.65,17.18546766,53.88,65.32,10.92,1.58,46.12,34.68,14.8,16.89,527917.0788,90725.01883
6118,128,C,#ffff00,C15,Rose Park,3,0.000111546,0.069430016,0.000111548,41.3757363,41.88886655,40.95479764,19.22149123,41.40646683,20.93421053,64.08552632,64.01315789,942.14,2225.18,1397,995.85,18.49284771,64.47,46.66,5.45,20.19,35.53,53.34,27.41,15.92,968018.7338,179014.2302
6119,128,B,#7cb5bd,B25,Mayword Park,2,5.38E-05,0.031708435,5.38E-05,38.7357431,38.52439553,38.0483413,37.60986547,38.43615998,38.69955157,49.81165919,49.9955157,655.67,1457.04,646,574.24,12.13764619,81.57,76.91,8.96,10.59,18.43,23.09,7.2,5.44,466702.8882,56646.74532
6121,128,B,#7cb5bd,B18,Rose City Park,2,0.000110237,0.080405584,0.000110206,40.49175088,40.53846382,39.20363206,27.54625551,40.07794892,27.45814978,59.09251101,59.05947137,1414.52,3221.09,2663,1339.24,21.20613918,85.13,84.71,2.37,2.43,14.87,15.29,3.9,2.53,956514.1242,202839.7164
6122,128,B,#7cb5bd,B17,Grant HI and Hollywood,2,0.00013114,0.086286413,0.000131135,39.03471304,39.80686512,38.4655771,30.37043796,39.10238509,30.11313869,59.33576642,60.31386861,1166.68,3209.25,2746,1237.84,22.72292375,82.04,87.46,1.02,0.3,17.96,12.57,1.11,3.56,1138265.747,258647.2578
6123,128,A,#76a865,A3,Dolph Park,1,5.81E-05,0.040746007,5.81E-05,36.90767207,38.67194006,37.4065131,35.14644351,37.66204174,34.94142259,53.66108787,54.16736402,1380.96,3778.33,1666,1369.08,20.75439989,82.11,89.3,0.2,1.36,17.89,10.7,5.57,1.89,504722.2601,104752.0762
6124,128,A,#76a865,A2,The Alameda,1,0.000110173,0.08039915,0.000110173,38.45290195,39.50333273,38.2414323,34.88043478,38.73255566,35.47391304,51.30869565,51.66304348,1276.92,2867.59,2491,1209.99,17.72554627,87.22,93.87,0.77,1.06,12.78,6.09,4.73,1.31,956209.3262,169493.3266
